ProductKey,ProductName,SubCategory,Category,StandardCost,Color,ListPrice,DaysToManufacture,ProductLine,ModelName,ProductDescription
49,Thin-Jam Hex Nut 14,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 14,Essential nut for various assemblies.
50,Thin-Jam Hex Nut 7,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 7,Essential nut for various assemblies.
51,Thin-Jam Hex Nut 8,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 8,Essential nut for various assemblies.
52,Thin-Jam Hex Nut 12,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 12,Essential nut for various assemblies.
53,Thin-Jam Hex Nut 11,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Hex Nut 11,Essential nut for various assemblies.
54,Hex Nut 5,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 5,Nuts for various bike components.
55,Hex Nut 6,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 6,Nuts for various bike components.
56,Hex Nut 16,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 16,Nuts for various bike components.
57,Hex Nut 17,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 17,Nuts for various bike components.
58,Hex Nut 7,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 7,Nuts for various bike components.
59,Hex Nut 8,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 8,Nuts for various bike components.
60,Hex Nut 9,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 9,Nuts for various bike components.
61,Hex Nut 22,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 22,Nuts for various bike components.
62,Hex Nut 23,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 23,Nuts for various bike components.
63,Hex Nut 12,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 12,Nuts for various bike components.
64,Hex Nut 13,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 13,Nuts for various bike components.
65,Hex Nut 1,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 1,Nuts for various bike components.
66,Hex Nut 10,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 10,Nuts for various bike components.
67,Hex Nut 11,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 11,Nuts for various bike components.
68,Hex Nut 2,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 2,Nuts for various bike components.
69,Hex Nut 20,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 20,Nuts for various bike components.
70,Hex Nut 21,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 21,Nuts for various bike components.
71,Hex Nut 3,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 3,Nuts for various bike components.
72,Hex Nut 14,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 14,Nuts for various bike components.
73,Hex Nut 15,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 15,Nuts for various bike components.
74,Hex Nut 4,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 4,Nuts for various bike components.
75,Hex Nut 18,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 18,Nuts for various bike components.
76,Hex Nut 19,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Hex Nut 19,Nuts for various bike components.
77,Handlebar Tube,Handlebars,Bike Parts,9.99,Black,29.99,1,Mountain,Handlebar Tube,Durable tube for optimal handling performance.
78,Head Tube,Frame Parts,Bike Parts,19.99,Black,59.99,1,Mountain,Head Tube,Provides stability and strength to the frame.
79,LL Hub,Hubs,Bike Parts,14.99,Silver,44.99,1,Mountain,LL Hub,Essential hub for smooth wheel rotation.
80,HL Hub,Hubs,Bike Parts,24.99,Silver,69.99,1,Mountain,HL Hub,High-performance hub for enhanced durability.
81,Keyed Washer,Washers,Bike Parts,0.5,Silver,1.99,0,Mountain,Keyed Washer,Essential for securing components.
82,External Lock Washer 3,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 3,Prevents loosening due to vibrations.
83,External Lock Washer 4,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 4,Prevents loosening due to vibrations.
84,External Lock Washer 9,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 9,Prevents loosening due to vibrations.
85,External Lock Washer 5,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 5,Prevents loosening due to vibrations.
86,External Lock Washer 7,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 7,Prevents loosening due to vibrations.
87,External Lock Washer 6,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 6,Prevents loosening due to vibrations.
88,External Lock Washer 1,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 1,Prevents loosening due to vibrations.
89,External Lock Washer 8,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 8,Prevents loosening due to vibrations.
90,External Lock Washer 2,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,External Lock Washer 2,Prevents loosening due to vibrations.
91,Internal Lock Washer 3,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 3,Safeguards against loosening of various parts.
92,Internal Lock Washer 4,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 4,Safeguards against loosening of various parts.
93,Internal Lock Washer 9,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 9,Safeguards against loosening of various parts.
94,Internal Lock Washer 5,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 5,Safeguards against loosening of various parts.
95,Internal Lock Washer 7,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 7,Safeguards against loosening of various parts.
96,Internal Lock Washer 6,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 6,Safeguards against loosening of various parts.
97,Internal Lock Washer 10,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 10,Safeguards against loosening of various parts.
98,Internal Lock Washer 1,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 1,Safeguards against loosening of various parts.
99,Internal Lock Washer 8,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 8,Safeguards against loosening of various parts.
100,Internal Lock Washer 2,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Internal Lock Washer 2,Safeguards against loosening of various parts.
101,Thin-Jam Lock Nut 9,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 9,Nuts for various bike components.
102,Thin-Jam Lock Nut 10,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 10,Nuts for various bike components.
103,Thin-Jam Lock Nut 1,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 1,Nuts for various bike components.
104,Thin-Jam Lock Nut 2,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 2,Nuts for various bike components.
105,Thin-Jam Lock Nut 15,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 15,Nuts for various bike components.
106,Thin-Jam Lock Nut 16,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 16,Nuts for various bike components.
107,Thin-Jam Lock Nut 5,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 5,Nuts for various bike components.
108,Thin-Jam Lock Nut 6,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 6,Nuts for various bike components.
109,Thin-Jam Lock Nut 3,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 3,Nuts for various bike components.
110,Thin-Jam Lock Nut 4,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 4,Nuts for various bike components.
111,Thin-Jam Lock Nut 13,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 13,Nuts for various bike components.
112,Thin-Jam Lock Nut 14,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 14,Nuts for various bike components.
113,Thin-Jam Lock Nut 7,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 7,Nuts for various bike components.
114,Thin-Jam Lock Nut 8,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 8,Nuts for various bike components.
115,Thin-Jam Lock Nut 12,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 12,Nuts for various bike components.
116,Thin-Jam Lock Nut 11,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Thin-Jam Lock Nut 11,Nuts for various bike components.
117,Lock Nut 5,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 5,Nuts for various bike components.
118,Lock Nut 6,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 6,Nuts for various bike components.
119,Lock Nut 16,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 16,Nuts for various bike components.
120,Lock Nut 17,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 17,Nuts for various bike components.
121,Lock Nut 7,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 7,Nuts for various bike components.
122,Lock Nut 8,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 8,Nuts for various bike components.
123,Lock Nut 9,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 9,Nuts for various bike components.
124,Lock Nut 22,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 22,Nuts for various bike components.
125,Lock Nut 23,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 23,Nuts for various bike components.
126,Lock Nut 12,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 12,Nuts for various bike components.
127,Lock Nut 13,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 13,Nuts for various bike components.
128,Lock Nut 1,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 1,Nuts for various bike components.
129,Lock Nut 10,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 10,Nuts for various bike components.
130,Lock Nut 11,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 11,Nuts for various bike components.
131,Lock Nut 2,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 2,Nuts for various bike components.
132,Lock Nut 20,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 20,Nuts for various bike components.
133,Lock Nut 21,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 21,Nuts for various bike components.
134,Lock Nut 3,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 3,Nuts for various bike components.
135,Lock Nut 14,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 14,Nuts for various bike components.
136,Lock Nut 15,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 15,Nuts for various bike components.
137,Lock Nut 4,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 4,Nuts for various bike components.
138,Lock Nut 19,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 19,Nuts for various bike components.
139,Lock Nut 18,Nuts,Bike Parts,0.25,Silver,0.99,0,Mountain,Lock Nut 18,Nuts for various bike components.
140,Lock Ring,Rings,Bike Parts,0.75,Silver,2.99,0,Mountain,Lock Ring,Provides secure connection for various bike components.
141,Lower Head Race,Headsets,Bike Parts,2.99,Silver,8.99,0,Mountain,Lower Head Race,Critical component for headset stability.
142,Lock Washer 4,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 4,Prevents loosening of fitted hardware.
143,Lock Washer 5,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 5,Prevents loosening of fitted hardware.
144,Lock Washer 10,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 10,Prevents loosening of fitted hardware.
145,Lock Washer 6,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 6,Prevents loosening of fitted hardware.
146,Lock Washer 13,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 13,Prevents loosening of fitted hardware.
147,Lock Washer 8,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 8,Prevents loosening of fitted hardware.
148,Lock Washer 1,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 1,Prevents loosening of fitted hardware.
149,Lock Washer 7,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 7,Prevents loosening of fitted hardware.
150,Lock Washer 12,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 12,Prevents loosening of fitted hardware.
151,Lock Washer 2,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 2,Prevents loosening of fitted hardware.
152,Lock Washer 9,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 9,Prevents loosening of fitted hardware.
153,Lock Washer 3,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 3,Prevents loosening of fitted hardware.
154,Lock Washer 11,Washers,Bike Parts,0.1,Silver,0.5,0,Mountain,Lock Washer 11,Prevents loosening of fitted hardware.
155,Metal Angle,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Angle,For structural reinforcement.
156,Metal Bar 1,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Bar 1,Versatile metal component for various uses.
157,Metal Bar 2,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Bar 2,Versatile metal component for various uses.
158,Metal Plate 2,Metal Parts,Bike Parts,2.99,Silver,8.99,0,Mountain,Metal Plate 2,Used in multiple structural applications.
159,Metal Plate 1,Metal Parts,Bike Parts,2.99,Silver,8.99,0,Mountain,Metal Plate 1,Used in multiple structural applications.
160,Metal Plate 3,Metal Parts,Bike Parts,2.99,Silver,8.99,0,Mountain,Metal Plate 3,Used in multiple structural applications.
161,Metal Sheet 2,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Sheet 2,Thin metal sheet for various applications.
162,Metal Sheet 3,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Sheet 3,Thin metal sheet for various applications.
163,Metal Sheet 7,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Sheet 7,Thin metal sheet for various applications.
164,Metal Sheet 4,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Sheet 4,Thin metal sheet for various applications.
165,Metal Sheet 5,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Sheet 5,Thin metal sheet for various applications.
166,Metal Sheet 6,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Sheet 6,Thin metal sheet for various applications.
167,Metal Sheet 1,Metal Parts,Bike Parts,1.99,Silver,5.99,0,Mountain,Metal Sheet 1,Thin metal sheet for various applications.
168,Metal Tread Plate,Metal Parts,Bike Parts,3.99,Silver,11.99,0,Mountain,Metal Tread Plate,For added traction in various applications.
169,LL Nipple,Nipples,Bike Parts,0.5,Silver,1.99,0,Mountain,LL Nipple,Essential for various wheel components.
170,HL Nipple,Nipples,Bike Parts,0.75,Silver,2.99,0,Mountain,HL Nipple,Durable nipple for high-performance wheels.
171,Paint - Black,Paints,Accessories,3.99,Black,11.99,0,Mountain,Paint - Black,Durable black paint for bike frames.
172,Paint - Red,Paints,Accessories,3.99,Red,11.99,0,Mountain,Paint - Red,Bold red paint for bike frames.
173,Paint - Silver,Paints,Accessories,3.99,Silver,11.99,0,Mountain,Paint - Silver,Shiny silver paint for bike frames.
174,Paint - Blue,Paints,Accessories,3.99,Blue,11.99,0,Mountain,Paint - Blue,Bright blue paint for bike frames.
175,Paint - Yellow,Paints,Accessories,3.99,Yellow,11.99,0,Mountain,Paint - Yellow,Eye-catching yellow paint for bike frames.
176,Pinch Bolt,Bolts,Bike Parts,0.5,Silver,1.99,0,Mountain,Pinch Bolt,For securing various components.
177,Cup-Shaped Race,Headsets,Bike Parts,2.99,Silver,8.99,0,Mountain,Cup-Shaped Race,Essential for headset assembly.
178,Cone-Shaped Race,Headsets,Bike Parts,2.99,Silver,8.99,0,Mountain,Cone-Shaped Race,Provides stability in headset systems.
179,Reflector,Safety Equipment,Accessories,1.99,Red,5.99,0,Mountain,Reflector,Improves visibility and safety on the road.
180,LL Mountain Rim,Wheels,Bike Parts,14.99,Black,44.99,0,Mountain,LL Mountain Rim,Durable rims designed for mountain biking.
181,ML Mountain Rim,Wheels,Bike Parts,19.99,Black,59.99,0,Mountain,ML Mountain Rim,Mid-level rims for reliable performance.
182,HL Mountain Rim,Wheels,Bike Parts,29.99,Black,89.99,0,Mountain,HL Mountain Rim,High-performance rims for serious mountain biking.
183,LL Road Rim,Wheels,Bike Parts,12.99,Black,39.99,0,Road,LL Road Rim,Lightweight and strong road bike rims.
184,ML Road Rim,Wheels,Bike Parts,17.99,Black,54.99,0,Road,ML Road Rim,Mid-weight rims for road bikes.
185,HL Road Rim,Wheels,Bike Parts,24.99,Black,74.99,0,Road,HL Road Rim,High-end road rims for competition.
186,Touring Rim,Wheels,Bike Parts,17.99,Black,54.99,0,Touring,Touring Rim,Rims designed for touring bicycles.
187,LL Mountain Seat Assembly,Seat Assemblies,Bike Parts,24.99,Black,74.99,1,Mountain,LL Mountain Seat Assembly,Comfortable seat assembly for mountain bikes.
188,ML Mountain Seat Assembly,Seat Assemblies,Bike Parts,34.99,Black,104.99,1,Mountain,ML Mountain Seat Assembly,Mid-level seat for mountain biking.
189,HL Mountain Seat Assembly,Seat Assemblies,Bike Parts,49.99,Black,149.99,1,Mountain,HL Mountain Seat Assembly,Premium seat assembly for mountain bikes.
190,LL Road Seat Assembly,Seat Assemblies,Bike Parts,22.99,Black,69.99,1,Road,LL Road Seat Assembly,Comfortable seat for road bikes.
191,ML Road Seat Assembly,Seat Assemblies,Bike Parts,32.99,Black,99.99,1,Road,ML Road Seat Assembly,Mid-tier seat assembly for road bikes.
192,HL Road Seat Assembly,Seat Assemblies,Bike Parts,44.99,Black,134.99,1,Road,HL Road Seat Assembly,High-end seat for road cycling.
193,LL Touring Seat Assembly,Seat Assemblies,Bike Parts,27.99,Black,84.99,1,Touring,LL Touring Seat Assembly,Designed for comfort during long rides.
194,ML Touring Seat Assembly,Seat Assemblies,Bike Parts,37.99,Black,114.99,1,Touring,ML Touring Seat Assembly,Mid-level touring seat assembly.
195,HL Touring Seat Assembly,Seat Assemblies,Bike Parts,54.99,Black,164.99,1,Touring,HL Touring Seat Assembly,Premium seat for touring cyclists.
196,LL Spindle/Axle,Spindles/Axles,Bike Parts,5.99,Silver,17.99,0,Mountain,LL Spindle/Axle,Durable spindle for bikes.
197,HL Spindle/Axle,Spindles/Axles,Bike Parts,9.99,Silver,29.99,0,Mountain,HL Spindle/Axle,High-performance axle for enhanced strength.
198,LL Shell,Shells,Bike Parts,4.99,Silver,14.99,0,Mountain,LL Shell,Standard shell for bottom bracket assemblies.
199,HL Shell,Shells,Bike Parts,7.99,Silver,23.99,0,Mountain,HL Shell,High-quality shell designed for durability.
200,Spokes,Spokes,Bike Parts,0.5,Silver,1.99,0,Mountain,Spokes,Essential for wheel assembly.
201,Seat Lug,Frame Parts,Bike Parts,3.99,Black,11.99,0,Mountain,Seat Lug,Used to mount the seat post securely.
202,Stem,Handlebars,Bike Parts,11.99,Black,35.99,1,Mountain,Stem,Adjustable stem for personalized fit.
203,Seat Post,Seat Posts,Bike Parts,14.99,Black,44.99,0,Mountain,Seat Post,Durable seat post for optimal seat adjustment.
204,Steerer,Components,Bike Parts,9.99,Black,29.99,1,Mountain,Steerer,Essential for steering and handling.
205,Seat Stays,Frame Parts,Bike Parts,14.99,Black,44.99,1,Mountain,Seat Stays,Provides essential support to the bike frame.
206,Seat Tube,Frame Parts,Bike Parts,19.99,Black,59.99,1,Mountain,Seat Tube,Integral part of frame construction.
207,Top Tube,Frame Parts,Bike Parts,19.99,Black,59.99,1,Mountain,Top Tube,Essential for structural integrity of the frame.
208,Tension Pulley,Pulleys,Bike Parts,1.99,Silver,5.99,0,Mountain,Tension Pulley,Used in various bike gearing systems.
